key,value
beed,bead
caney,cane
cowsy,cozy
yippe,yippee
sandle,sandal
movieset,movie set
dangerous.,dangerous
ingnorance,ignorance
carribbean,caribbean
rockpool,rock pool
davidtennant,david tennant
tranmission,transmission
nighstand,nightstand
deliberate.,deliberate
blanktet,blanket
bisep,bicep
otterclean,otter clean
boardgame,board game
harr,hair
socialscience,social science
spoty,spotty
ocal,local
unecessary,unnecessary
mably,maybe
waitor,waiter
purpl,purple
chihuaha,chihuahua
concealing.,concealing
hottin,hot tin
tiie,tie
samhian,samhain
hotchocolate,hot chocolate
flowrs,flowers
prinicpal,principal
blac,black
rumubs,rumors
independant,independent
vegatbles,vegetables
ham.,ham
idealogy,ideology
situp,sit up
daper,dapper
nickle,nickel
deasy,easy
sprinlkler,sprinkler
chinesefood,chinese food
whitehole,white hole
timee,time
carredclash,car red clash
potaato,potato
death.,death
laughlove,laugh love
mariage,marriage
bungalo,bungalow
yeard,yard
walkie-talkie,walkie talkie
jinglebell,jingle bell
worrie,worry
cloudcover,cloud cover
suspsnense,suspense
estatic,ecstatic
apple.,apple
trool,troll
impell,impel
lightswitch,light switch
marrage,marriage
antfarm,ant farm
bumber,bumper
southkorea,south korea
rocketlab,rocket lab
compase,compass
trumph,trump
tepees,teepees
curtian,curtain
boombastic,bombastic
brandom,brandon
alot,a lot
amberheard,amber heard
hbouse,house
lasiq,lasik
jumpscare,jump scare
choo-choo,choo choo
cheeseburger.,cheeseburger
antivax,anti-vax
porceline,porcelain
once-in-a-lifetime,once in a lifetime
frencjh,french
cabinent,cabinet
carwindow,car window
insturment,instrument
missles,missiles
sleezy,sleazy
nonchalanbt,nonchalant
]mouse,mouse
pem,pen
'town,town
cantelope,cantaloupe
letgo,let go
head.,head
facewash,face wash
unitity,unity
tablecomputer,table computer
messageboad,message board
ministetr,minister
democrat.,democrat
kepper,keeper
corvaliis,corvallis
wallstreet,wall street
makup,makeup
keybord,keyboard
newzeland,new zealand
macaea,maca
spaghetti.,spaghetti
tootbrush,toothbrush
drivethru,drive thru
yellling,yelling
shotglass,shot glass
redlight,red light
beergoat,beer goat
luagh,laugh
jistify,justify
popsicles.,popsicles
stairstepper,stair stepper
saxaphone,saxophone
story.,story
perserverance,perseverance
jaccuzzi,jacuzzi
jetstream,jet stream
rice.,rice
aboveground,above ground
outsside,outside
canteloupe,cantaloupe
queencourt,queen court
revitalised,revitalized
liveshow,live show
waht,what
sandels,sandals
vaporizor,vaporizer
pil,pill
heaf,head
bliunt,blunt
prarie,prairie
brazan,brazen
iirish,irish
meoi,meow
watermelon.,watermelon
kight,knight
ramboing,rambling
arcdetriomph,arc de triomphe
dunkey,donkey
prizm,prism
snakc,snack
chedder,cheddar
prepel,propel
entreprises,enterprises
terrifyin,terrifying
silenthome,silent home
extremedy,extremely
spanis,spanish
historyscience,history science
sorrw,sorrow
evil.,evil
aarvardk,aardvark
doorbag,door bag
congac,cognac
eiffeltower,eiffel tower
mymonitor,my monitor
umberella,umbrella
babaganoush,baba ganoush
]bat,bat
barkin,barking
craissant,croissant
nailpolish,nail polish
dayout,day out
sesameoil,sesame oil
twp,two
banan,banana
bigmac,big mac
eurpoe,europe
glases,glasses
depressedleaves,depressed leaves
downup,down up
starfihs,starfish
perfuke,perfume
lakehouse,lake house
backround,background
diagnol,diagonal
selfish.,selfish
bedsheetsw,bedsheets
kidne,kidney
blutooth,bluetooth
pape,paper
multi-use,multi use
cholophyll,chlorophyll
qtips,q-tips
elveds,elves
sharpei,shar pei
wrang,wrong
fannypack,fanny pack
pidgeon,pigeon
open-mindedness,open mindedness
trurthful,truthful
withold,withhold
hair.,hair
fish.,fish
milleniumpark,millennium park
myrth,mirth
sushi.,sushi
greay,gray
croussel,carousel
septar,septum
tige,tie
haybale,hay bale
brroom,broom
litterbox,litter box
return.,return
mokey,monkey
mathmatics,mathematics
travel.,travel
penci,pencil
dumbell,dumbbell
bodywash,body wash
nightime,nighttime
famiy,family
hookw,hook
menae,menace
showvel,shovel
bannana,banana
balerina,ballerina
cpld,cold
squirl,squirrel
carribean,caribbean
jhop,j-hope
bedcover,bed cover
rescueship,rescue ship
timme,time
deepfryer,deep fryer
champagne.,champagne
hilss,hills
fuschia,fuchsia
shipboat,ship boat
peterparker,peter parker
spacespaceship,space spaceship
divit,divot
soda.,soda
experince,experience
inscence,incense
keeshon,keeshond
wors,worse
tust,dust
asphault,asphalt
townhome,town home
obrush,brush
squar,square
flounder.,flounder
deserted.,deserted
disregard.,disregard
furtniturec,furniture
bananas.,bananas
embarassed,embarrassed
vile.,vile
amozonite,amazonite
refrigeartor,refrigerator
carride,car ride
contaminent,contaminant
selfcontrol,self control
jimmmyjewjank,jimmy jew jank
hudbsnd,husband
honme,home
squirrell,squirrel
oceam,ocean
clambour,clamber
immmune,immune
eclpse,eclipse
underware,underwear
bigbang,big bang
laddle,ladle
governemnt,government
wierd,weird
dougout,dugout
archetecture,architecture
mecrury,mercury
pully,pulley
eldery,elderly
runningshoes,running shoes
oyester,oyster
angray,angry
tittilation,titillation
fgreen,green
seethrough,see through
blackknight,black knight
marraige,marriage
banas,bananas
ugy,ugly
sidewak,sidewalk
cavity5,cavity
bossom,bosom
reeses,reese's
socia;,social
goddot,godot
assignements,assignments
dalmations,dalmatians
crackerjacks,cracker jacks
hipe,hype
fishing.,fishing
careful.,careful
kcik,kick
astroid,asteroid
milkshake.,milkshake
peanut.,peanut
whiskey.,whiskey
roadrage,road rage
carroling,caroling
parl,pearl
hourse,horse
washingmachine,washing machine
townails,toenails
kling,cling
benburgis,ben burgis
pneumonoultramicroscopicsilicolvolcanoconisis,pneumonoultramicroscopicsilicovolcanoconiosis
sno,snow
peacebugs,peace bugs
dr,doctor
pinkeat,pink eat
latenight,late night
cricketball,cricket ball
jaber,jabber
hatrack,hat rack
runtime,run time
canape,canapé
ms,miss
madeup,made up
tomholland,tom holland
micke,mickey
lade,laden
hoove,hooves
glassnoodles,glass noodles
sci-fi,sci fi
kante,kanté
accoutrement,accouterment
airconditioner,air conditioner
prybar,pry bar
